INDEX,YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW,VV,Cl,A,Cm,A,Ch,A,Dl,Dm,Dh,TC,h,c,a,Ht,RF,EVP,DW,P,H,WAT,
42184,1973,06,12,01,996.3,1003.3,34.0,26.0,22.4,051,27.1,09,002,  ,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,02,997.8,1004.8,36.0,26.2,21.7,044,25.9,09,002,05,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,03,998.3,1005.4,30.6,27.2,25.8,076,33.2,09,002,06,96,0,0,1,8, , ,0,9, ,8,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,04,1001.4,1008.4,34.0,26.8,22.4,051,27.1,00,000,03,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,05,992.8,999.8,34.0,27.4,24.0,056,29.8,11,004,07,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,06,992.6,999.6,31.5,26.4,24.2,064,30.2,09,004,07,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,07,992.4,999.4,32.0,21.8,15.7,037,   ,09,002,02,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,08,992.2,999.1,31.4,26.0,23.6,063,29.1,09,002,02,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,09,993.5,1000.5,32.0,27.6,25.8,070,33.2,07,004,17,96,0,0,3,6,0,0,0,2,0,6,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,10,993.9,1000.8,35.0,27.0,23.6,052,29.1,09,002,09,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,11,994.7,1001.7,33.6,26.8,23.9,057,29.7,09,001,07,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,12,994.3,1001.2,32.2,27.2,25.1,067,31.9,07,002,16,96,5,8, , , , ,2, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,13,990.5,997.5,33.0,26.8,24.2,060,30.2,00,000,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,14,987.6,994.8,27.0,26.0,25.6,092,32.8,29,002,07,96,5,8, , , , ,9, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,15,986.1,993.2,29.8,26.4,25.3,075,32.2,29,002,07,96,5,8, , , , ,9, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,16,983.0,990.1,31.6,27.0,25.7,069,31.9,29,004,05,96,5,8, , , , ,9, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,17,983.1,990.1,32.0,27.6,25.8,070,33.2,29,002,04,96,5,8, , , , ,9, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,18,986.9,993.9,30.6,26.0,24.0,068,29.8,00,000,04,96,5,8, , , , ,9, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,19,989.6,996.7,27.4,26.0,25.4,089,32.4,09,002,04,96,5,8, , , , ,9, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,20,991.1,998.2,27.0,25.8,25.3,090,32.2,00,000,02,96,5,8, , , , ,9, , ,8,6, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,21,992.8,999.9,31.2,28.6,27.6,088,36.9,00,000,02,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,22,993.2,1000.2,32.0,28.0,26.4,073,34.4,00,000,03,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,23,993.8,1000.8,32.6,28.0,26.2,069,34.0,00,000,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,24,992.8,999.8,33.0,28.4,26.6,069,34.8,00,000,03,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,25,993.4,1000.5,30.8,28.0,26.9,080,35.4,00,000,01,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,26,992.5,999.6,32.0,29.4,28.5,082,38.9,00,000,09,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,27,990.8,997.9,29.0,27.0,26.2,086,34.0,07,004,12,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,28,993.1,1000.3,28.0,26.0,25.2,085,32.1,07,002,07,96,5,8, , , , ,9, , ,8,7, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,29,992.3,997.4,28.2,27.0,26.5,092,34.6,07,002,05,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,12,30,992.7,999.7,29.0,27.4,26.8,088,35.2,00,000,04,96,5,8, , , , ,9, , ,8,7, , ,  ,,   ,  , , ,   ,
42184,1973,06,48,01,995.2,1000.2,38.0,26.0,20.3,076,23.8,09,002,03,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,48,02,994.2,1001.1,37.0,26.4,21.5,041,25.6,09,002,06,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,,   ,  , , ,   ,
42184,1973,06,48,03,994.7,1001.6,38.0,26.0,20.3,036,23.8,09,002,06,96,0,0,3,8, , ,0,9, ,8,9, , ,  ,,   ,  , , ,   ,
